genres,Nombre de tconst
Drama,2477
"Comedy,Drama",1542
Comedy,1469
"Comedy,Drama,Romance",1255
"Drama,Romance",1208
"Comedy,Romance",896
"Action,Crime,Drama",752
Documentary,725
"Horror,Thriller",551
"Crime,Drama,Thriller",535
"Drama,Thriller",519
Horror,458
"Action,Crime,Thriller",392
"Crime,Drama,Mystery",387
"Action,Comedy,Crime",368
"Horror,Mystery,Thriller",368
"Crime,Drama",337
"Adventure,Animation,Comedy",328
"Action,Adventure,Comedy",323
"Action,Thriller",316
"Comedy,Crime,Drama",290
"Action,Adventure,Animation",279
"Action,Adventure,Drama",273
"Drama,Horror,Mystery",270
Thriller,257
"Drama,Mystery,Thriller",250
"Biography,Drama,History",237
"Action,Drama,Thriller",234
"Biography,Drama",218
"Comedy,Drama,Family",203
